far_east;Far East;;;;;;;;;;;;;x
japanese;Japanese;;;;;;;;;;;;;x
ainu;Ainu;;;;;;;;;;;;;x
ryukyuan;Ryukyuan;;;;;;;;;;;;;x
emperor_japanese;Shogun;;;;;;;;;;;;;x
emperor_female_japanese;Kogo;;;;;;;;;;;;;x
king_japanese;Kokuo;;;;;;;;;;;;;x
king_female_japanese;Jo'o;;;;;;;;;;;;;x
duke_japanese;Daimyo;;;;;;;;;;;;;x
duke_female_japanese;Daimyo;;;;;;;;;;;;;x
duchy_of_japanese;Circuit of;;;;;;;;;;;;;x
count_japanese;Kami;;;;;;;;;;;;;x
count_female_japanese;Kami;;;;;;;;;;;;;x
county_of_japanese;Province of;;;;;;;;;;;;;x
baron_japanese;Gunji;;;;;;;;;;;;;x
baron_female_japanese;Gunji;;;;;;;;;;;;;x
barony_of_japanese;Manor of;;;;;;;;;;;;;x
title_regent_japanese;Sessho;;;;;;;;;;;;;x
title_ruler_consort_japanese;Kokuo;;;;;;;;;;;;;x
title_ruler_consort_female_japanese;Jo'o;;;;;;;;;;;;;x
baron_title_ruler_consort_japanese;Gunji;;;;;;;;;;;;;x
baron_title_ruler_consort_female_japanese;Kita no Kata;;;;;;;;;;;;;x
count_title_ruler_consort_japanese;Kami;;;;;;;;;;;;;x
count_title_ruler_consort_female_japanese;Kita no Kata;;;;;;;;;;;;;x
duke_title_ruler_consort_japanese;Daimyo;;;;;;;;;;;;;x
duke_title_ruler_consort_female_japanese;Midaidokoro;;;;;;;;;;;;;x
emperor_title_ruler_consort_japanese;Shogun;;;;;;;;;;;;;x
emperor_title_ruler_consort_female_japanese;Kogo;;;;;;;;;;;;;x
title_queen_mother_japanese;Kokumo;;;;;;;;;;;;;x
emperor_title_queen_mother_female_japanese;Kotaigo;;;;;;;;;;;;;x
title_prince_japanese;Oji;;;;;;;;;;;;;x
title_prince_female_japanese;Ojo;;;;;;;;;;;;;x
e_japan;Japan;;;;;;;;;;;;;x
k_japan;Japan;;;;;;;;;;;;;x
k_ainumosir;Ainu Moshir;;;;;;;;;;;;;x
k_ryukyu;Ruuchuu;;;;;;;;;;;;;x
d_yamato;Japan;;;;;;;;;;;;;x
d_shinto;Shinto High Priesthood;;;;;;;;;;;;;x
d_ryukyu_shinto;Ko-Shinto High Priesthood;;;;;;;;;;;;;x
d_ainu_pantheism_reformed;Katunkamuy High Priesthood;;;;;;;;;;;;;x
d_tohoku;Tohoku;;;;;;;;;;;;;x
d_kanto;Kanto;;;;;;;;;;;;;x
d_hokuriku;Hokuriku;;;;;;;;;;;;;x
d_kinai;Kinai;;;;;;;;;;;;;x
d_tokai;Tokai;;;;;;;;;;;;;x
d_sanyo;Sanyo;;;;;;;;;;;;;x
d_sanin;Sanin;;;;;;;;;;;;;x
d_shikoku;Shikoku;;;;;;;;;;;;;x
d_kyushu;Kyushu;;;;;;;;;;;;;x
d_hokkaido;Ezo;;;;;;;;;;;;;x
d_sakhalin;Sakhalin;;;;;;;;;;;;;x
d_ryukyu;Ruuchuu;;;;;;;;;;;;;x
